Vivado Simulator 2019.1
Time resolution is 1 ps
time	clock	resetn	q	ir	pc	a	b	alu	fromem	tomem
0	 1 0 000 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000000000 00000000000000000000000000000000 00111100000000010000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0
1	 1 1 000 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000000000 00000000000000000000000000000000 00111100000000010000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0
2	 0 1 000 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000000000 00000000000000000000000000000000 00111100000000010000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 1
4	 1 1 001 00000000000000000000000000000100 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000000000 00110100001001000000000010000000 00000000000000000000000000000100 00111100000000010000000000000000 0
6	 0 1 001 00000000000000000000000000000100 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000000000 00110100001001000000000010000000 00000000000000000000000000000100 00111100000000010000000000000000 1
8	 1 1 010 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000000 00110100001001000000000010000000 00000000000000000000000000000100 00111100000000010000000000000000 0
10	 0 1 010 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000000 00110100001001000000000010000000 00000000000000000000000000000100 00111100000000010000000000000000 1
12	 1 1 100 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000000 00110100001001000000000010000000 00000000000000000000000000000100 00111100000000010000000000000000 0
14	 0 1 100 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000000 00110100001001000000000010000000 00000000000000000000000000000100 00111100000000010000000000000000 1
16	 1 1 000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000001000 00000000000000000000000000000100 00000000000000000000000000000000 00110100001001000000000010000000 00000000000000000000000000000100 00111100000000010000000000000000 0
18	 0 1 000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000001000 00000000000000000000000000000100 00000000000000000000000000000000 00110100001001000000000010000000 00000000000000000000000000000100 00111100000000010000000000000000 1
20	 1 1 001 00000000000000000000000000001000 00000000000000000000001000000000 00000000000000000000001000001000 00000000000000000000000000001000 00000000000000000000000000000000 00100000000001010000000000000100 00000000000000000000000000001000 00110100001001000000000010000000 0
22	 0 1 001 00000000000000000000000000001000 00000000000000000000001000000000 00000000000000000000001000001000 00000000000000000000000000001000 00000000000000000000000000000000 00100000000001010000000000000100 00000000000000000000000000001000 00110100001001000000000010000000 1
24	 1 1 010 00000000000000000000000000000000 00000000000000000000000010000000 00000000000000000000000010000000 00000000000000000000000000001000 00000000000000000000000000000000 00100000000001010000000000000100 00000000000000000000000000001000 00110100001001000000000010000000 0
26	 0 1 010 00000000000000000000000000000000 00000000000000000000000010000000 00000000000000000000000010000000 00000000000000000000000000001000 00000000000000000000000000000000 00100000000001010000000000000100 00000000000000000000000000001000 00110100001001000000000010000000 1
28	 1 1 100 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000001000 00000000000000000000000000000000 00100000000001010000000000000100 00000000000000000000000000001000 00110100001001000000000010000000 0
